,field_name,form_name,field_type,field_label,parent,branching_logic
1695,lesion_ml___None,daily,binary,None,lesion_ml,[lesion_dailydata]='1'
1696,lesion_ml___1,daily,binary,1,lesion_ml,[lesion_dailydata]='1'
1697,lesion_ml___2-5,daily,binary,2-5,lesion_ml,[lesion_dailydata]='1'
1698,lesion_ml___6-9,daily,binary,6-9,lesion_ml,[lesion_dailydata]='1'
1699,lesion_ml___10-24,daily,binary,10-24,lesion_ml,[lesion_dailydata]='1'
1700,lesion_ml___25-49,daily,binary,25-49,lesion_ml,[lesion_dailydata]='1'
1701,lesion_ml___50-99,daily,binary,50-99,lesion_ml,[lesion_dailydata]='1'
1702,lesion_ml___100-250,daily,binary,100-250,lesion_ml,[lesion_dailydata]='1'
1703,lesion_ml___251-1000,daily,binary,251-1000,lesion_ml,[lesion_dailydata]='1'
1704,lesion_ml___>1000,daily,binary,>1000,lesion_ml,[lesion_dailydata]='1'
1705,lesion_slpain,daily,binary,Pain at any skin lesion site(s),lesion,[lesion_dailydata]='1'
1706,lesion_slpain_score,daily,numeric,"Maximal pain score, where 0 means ""no pain"", and 10 means ""the worst possible pain.""",lesion,[lesion_slpain]='1'
1707,lesion_mlpain,daily,binary,Pain at any mucosal lesion site(s),lesion,[lesion_dailydata]='1'
1708,lesion_mlpain_score,daily,numeric,"Maximal pain score, where 0 means ""no pain"", and 10 means ""the worst possible pain.""",lesion,[lesion_mlpain]='1'
1709,lesion_desc,daily,freetext,Describe any other lesion complication(s),lesion,[lesion_dailydata]='1'
1710,treat,daily,section,RESPIRATORY SUPPORT,,
1711,treat_o2supp,daily,binary,Supplemental oxygen,treat,
1712,treat_nasalprongs,daily,binary,Nasal prongs,treat,[treat_o2supp] = '1'
1713,treat_facemask,daily,binary,Face mask,treat,[treat_o2supp] = '1'
1714,treat_hfno,daily,binary,High flow nasal oxygen,treat,[treat_o2supp] = '1'
1715,treat_niv,daily,binary,Non-invasive ventilation,treat,[treat_o2supp] = '1'
1716,treat_niv_type,daily,categorical,Type of non-invasive ventilation,treat,[treat_niv]='1'
